"Start Time","Track","Series","Hosted Session Name"
"2020.11.19 11:00 AM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 3"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","374365","374365","Philip Fransson","0","18","0","Running","-00.000","0","1:29.105","1:30.737","1:29.105","11","34","14","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin Östlund","0","5","0","Running","-00.037","0","1:29.142","1:32.451","1:29.142","34","62","17","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","115698","115698","Alex Jönsson","0","96","0","Running","-00.416","0","1:29.522","1:31.710","1:29.522","48","168","43","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","143191","143191","Wilhelm Wiberg","0","82","0","Running","-00.473","0","1:29.578","1:32.202","1:29.578","13","29","11","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","290742","290742","Magnus Vallström","0","15","0","Running","-00.541","0","1:29.647","1:32.542","1:29.647","62","74","18","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","24469","24469","Erik Blixt","0","89","0","Running","-00.597","0","1:29.703","1:32.654","1:29.703","41","93","22","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","293413","293413","Wilhelm Öhman","0","6","0","Running","-00.622","0","1:29.727","1:32.069","1:29.727","100","101","54","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","124781","124781","Marcus Simonsson","0","9","0","Running","-00.745","0","1:29.850","1:32.049","1:29.850","52","102","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","286284","286284","Joakim Vennström","0","907","0","Running","-00.777","0","1:29.882","1:31.238","1:29.882","8","60","12","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","332953","332953","Philip Andersson","0","4","0","Running","-00.986","0","1:30.091","1:32.647","1:30.091","51","172","65","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","61884","61884","Marcus Stoor","0","92","0","Running","-01.506","0","1:30.612","1:32.849","1:30.612","21","21","10","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159550","159550","Robert B Eriksson","0","20","0","Running","-01.654","0","1:30.759","1:34.533","1:30.759","73","73","53","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","175460","175460","Joakim Svensson","0","14","0","Running","-01.910","0","1:31.015","1:33.429","1:31.015","25","43","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","253552","253552","Jesper Eriksson2","0","16","0","Running","-02.182","0","1:31.287","1:31.531","1:31.287","2","4","4","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","216544","216544","Daniel Sollo","0","13","0","Running","-02.639","0","1:31.745","1:35.368","1:31.745","21","74","68","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 3"
