"Start Time","Track","Series","Hosted Session Name"
"2020.11.21 9:15 PM GMT","Okayama International Circuit - Full Course","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412046","412046","Rasmus Aberg","0","12","0","Running","-00.000","0","1:29.873","1:35.425","1:29.873","4","17","7","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","303121","303121","Andreas Bäckman","0","19","0","Running","-00.270","0","1:30.143","1:32.188","1:30.143","37","43","12","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","444099","444099","Nils Andersson","0","3","0","Running","-00.359","0","1:30.232","1:35.182","1:30.232","28","44","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","261289","261289","Hampus Baaz","0","6","0","Running","-00.490","0","1:30.363","1:33.214","1:30.363","40","51","35","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","370307","370307","Linus Trane","0","2","0","Running","-00.545","0","1:30.419","1:32.253","1:30.419","30","32","14","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","289099","289099","Carl Wahlqvist","0","24","0","Running","-00.587","0","1:30.460","1:32.661","1:30.460","39","50","20","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-00.826","0","1:30.699","1:35.839","1:30.699","30","39","27","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","50423","50423","Fredrik Tackman","0","11","0","Running","-00.861","0","1:30.734","1:33.882","1:30.734","34","52","16","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","512574","512574","Mattias Adielsson","0","4","0","Running","-01.389","0","1:31.262","1:38.313","1:31.262","10","42","46","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","561817","561817","Johan Skogsby","0","14","0","Running","-01.865","0","1:31.738","1:35.056","1:31.738","24","25","27","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571918","571918","Robert Larsson2","0","71","0","Running","-02.089","0","1:31.963","1:37.423","1:31.963","17","19","14","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","511221","511221","Andreas Persson4","0","8","0","Running","-02.428","0","1:32.301","1:38.341","1:32.301","26","40","40","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","429625","429625","Marcus Forsell Stahre","0","7","0","Running","-02.557","0","1:32.431","1:36.945","1:32.431","15","20","7","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","19682","19682","Mattias Stahre","0","88","0","Running","-03.434","0","1:33.307","1:36.513","1:33.307","4","8","1","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","571950","571950","Morgan Olsson","0","57","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
