"Start Time","Track","Series","Hosted Session Name"
"2020.12.03 11:00 AM GMT","Silverstone Circuit - Grand Prix","Hosted iRacing","SM Virtuell Racing Powered by Porsche 1"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"1","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","229541","229541","Carl E Jansson","0","29","0","Running","-00.000","0","2:02.195","2:02.710","2:02.195","24","41","54","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"2","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","42739","42739","Robin Östlund","0","223","0","Running","-00.324","0","2:02.520","2:04.032","2:02.520","38","42","43","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"3","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","402368","402368","Jesper A Olsson","0","96","0","Running","-00.631","0","2:02.826","2:03.906","2:02.826","49","49","83","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"4","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","428717","428717","Alfred Nilsson","0","10","0","Running","-00.739","0","2:02.935","2:04.130","2:02.935","32","52","94","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"5","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","432847","432847","Adam J Isaksson","0","78","0","Running","-01.070","0","2:03.266","2:04.157","2:03.266","25","46","37","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"6","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","165678","165678","Robin Noborg","0","18","0","Running","-01.076","0","2:03.272","2:07.252","2:03.272","44","52","42","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"7","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","230647","230647","Michael Haflidason","0","81","0","Running","-01.131","0","2:03.327","2:04.740","2:03.327","44","47","87","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"8","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","286284","286284","Joakim Vennström","0","907","0","Running","-01.156","0","2:03.352","2:04.111","2:03.352","58","58","28","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"9","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","290742","290742","Magnus Vallström","0","34","0","Running","-01.212","0","2:03.408","2:04.305","2:03.408","7","20","19","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"10","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","407027","407027","Oscar Pedersen","0","32","0","Running","-01.344","0","2:03.540","2:04.071","2:03.540","9","9","10","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"11","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","548968","548968","Alxander Spetz","0","9","0","Running","-01.388","0","2:03.584","2:03.973","2:03.584","2","27","119","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"12","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","403502","403502","Viktor M Andersson","0","37","0","Running","-01.388","0","2:03.584","2:03.942","2:03.584","21","24","30","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"13","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","412090","412090","Isac Blomqvist","0","33","0","Running","-01.520","0","2:03.716","2:04.310","2:03.716","30","32","66","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"14","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","456767","456767","Carl Rydquist","0","46","0","Running","-01.595","0","2:03.791","2:06.247","2:03.791","62","62","93","6","California Club","100","0","SM Virtuell Racing Powered by Porsche 1"
"15","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","332953","332953","Philip Andersson","0","6","0","Running","-01.744","0","2:03.939","2:05.148","2:03.939","22","33","33","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"16","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","209962","209962","Linus Areng","0","44","0","Running","-01.750","0","2:03.946","2:05.242","2:03.946","15","50","43","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"17","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","159684","159684","Kristofer Moreau","0","27","0","Running","-01.780","0","2:03.975","2:05.480","2:03.975","22","22","31","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"18","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","319555","319555","Niklas Hedberg","0","26","0","Running","-01.978","0","2:04.174","2:04.617","2:04.174","11","22","29","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"19","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","372720","372720","Markus Kujanpää","0","61","0","Running","-01.999","0","2:04.194","2:05.577","2:04.194","30","37","39","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"20","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","210826","210826","Magnus Asp","0","2","0","Running","-02.330","0","2:04.525","2:05.217","2:04.525","12","24","22","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"21","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400348","400348","Andreas Andersson7","0","7","0","Running","-02.353","0","2:04.549","2:06.555","2:04.549","9","25","67","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"22","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","400791","400791","Oscar Fredriksson","0","13","0","Running","-02.460","0","2:04.656","2:07.872","2:04.656","69","82","156","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"23","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","349751","349751","Robert Johansson4","0","31","0","Running","-02.595","0","2:04.791","2:07.267","2:04.791","11","32","40","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"24","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","517792","517792","Johan Stolt","0","30","0","Running","-02.911","0","2:05.106","2:07.733","2:05.106","21","22","38","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"25","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","382563","382563","Elias Adestam","0","15","0","Running","-03.627","0","2:05.823","2:05.823","2:05.823","2","2","13","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"26","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","528556","528556","Enzo Hallman","0","16","0","Running","-04.153","0","2:06.348","2:08.750","2:06.348","10","14","38","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"27","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","37038","37038","Jonas Gertsson","0","11","0","Running","-04.669","0","2:06.865","2:08.297","2:06.865","27","27","62","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"28","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","191387","191387","Tomas Kling","0","19","0","Running","-04.764","0","2:06.959","2:07.349","2:06.959","5","12","13","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"29","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","393555","393555","Eddie Ramirez Eriksson","0","23","0","Running","-05.460","0","2:07.656","2:09.979","2:07.656","19","23","60","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"30","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","506525","506525","Anders Alavik","0","17","0","Running","-07.494","0","2:09.690","2:11.421","2:09.690","6","18","93","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"31","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","34051","34051","Emil Sällberg","0","25","0","Running","-00.000","0","","00.000","","","0","0","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
"32","88","Porsche 911 GT3 Cup (991)","0","Hosted All Cars Class","573717","573717","Kevin Blomberg","0","35","0","Running","-00.000","0","","00.000","","","14","72","43","Scandinavia","100","0","SM Virtuell Racing Powered by Porsche 1"
